Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.012147542101602153,0.013159837276735665,12.0,12.0,0.013159837276735665,C2/m,12,13,YZn12
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.014292296018683592,0.019056394691578122,12.0,12.0,0.019056394691578122,Pnma,62,16,YZn3
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.01337893865495915,0.016054726385950978,5.0,5.0,0.016054726385950978,P6/mmm,191,6,YZn5
Y,88.90584,219.0,1.22,6.217,0.307,162.0,0.0167015373927695,0.033403074785539,1.0,1.0,0.033403074785539,Pm-3m,221,2,YZn
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.009373701993491116,0.011078011446853137,22.0,4.0,0.06092906295769225,I-43m,217,26,Zn11Co2
Ir,192.22,202.0,2.2,9.1,1.565,54.0,0.013670524696870709,0.016156074641756293,22.0,4.0,0.0888584105296596,I-43m,217,26,Zn11Ir2
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.009299111300366251,0.010989858809523752,22.0,4.0,0.06044422345238063,I-43m,217,26,Zn11Ni2
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.015655435158877865,0.018501877915037476,22.0,4.0,0.10176032853270611,I-43m,217,26,Zn11Rh2
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.007881353754098286,0.00848761173518277,13.0,1.0,0.11033895255737601,C2/m,12,14,Zn13Co
Fe,55.84,194.0,1.83,7.902,0.163,62.0,0.011395426567213715,0.012271997841614769,13.0,1.0,0.159535971940992,C2/m,12,14,Zn13Fe
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.013145032726722393,0.014156189090316424,13.0,1.0,0.1840304581741135,C2/m,12,14,Zn13Rh
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0036893899550769224,0.006148983258461537,96.0,64.0,0.009223474887692306,P4_2/nbc,133,160,Zn3As2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.012125593094550921,0.01616745745940123,24.0,8.0,0.048502372378203686,Pm-3n,223,32,Zn3Au
N,14.007,155.0,3.04,14.534,,7.4,0.004097735258771438,0.006829558764619063,24.0,16.0,0.010244338146928595,Ia-3,206,40,Zn3N2
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.004188935780291026,0.006981559633818375,24.0,16.0,0.010472339450727564,P4_2/nmc,137,40,Zn3P2
Ru,101.1,207.0,2.2,7.361,1.05,72.0,0.007834071375995143,0.010445428501326856,6.0,2.0,0.03133628550398057,I4/mmm,139,8,Zn3Ru
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.013124473810946648,0.020892019535792623,49.0,29.0,0.035300308870822014,Amm2,38,78,Zn49Pt29
Mo,95.95,209.0,2.16,7.092,0.746,87.0,0.005082365145764536,0.005929426003391958,6.0,1.0,0.03557655602035175,Fm-3m,225,7,Zn6Mo
Ru,101.1,207.0,2.2,7.361,1.05,72.0,0.005851459622701289,0.006826702893151504,216.0,36.0,0.04096021735890902,P4_132,213,252,Zn6Ru
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.007877632041942001,0.012801152068155752,16.0,10.0,0.020481843309049202,I-43m,217,26,Zn8Cu5
As,74.92159,185.0,2.18,9.815,0.81,30.0,0.0024194555531654584,0.0072583666594963755,8.0,16.0,0.0036291833297481878,P2_1/c,14,24,ZnAs2
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.010625893691975405,0.04250357476790162,8.0,24.0,0.014167858255967206,I4_1/acd,142,32,ZnAu3
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.010626613111066526,0.02125322622213305,1.0,1.0,0.02125322622213305,Pm-3m,221,2,ZnAu
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0010014791599699377,0.003004437479909813,16.0,32.0,0.0015022187399549064,C2/c,15,48,ZnBr2
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.0008450421961375831,0.0025351265884127495,2.0,4.0,0.0012675632942063747,I-42d,122,6,ZnCl2
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.007999568302550799,0.015999136605101598,1.0,1.0,0.015999136605101598,Pm-3m,221,2,ZnCu
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.0013512439053112166,0.00405373171593365,2.0,4.0,0.002026865857966825,P4_2/mnm,136,6,ZnF2
I,126.9045,198.0,2.66,10.451,3.059,32.9,0.0011424745105748956,0.0034274235317246866,16.0,32.0,0.0017137117658623433,C2/c,15,48,ZnI2
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.014168631183792274,0.028337262367584548,2.0,2.0,0.028337262367584548,P4/mmm,123,4,ZnNi
O,15.999,152.0,3.44,13.618,1.461,5.3,0.002749504732012225,0.00549900946402445,2.0,2.0,0.00549900946402445,P6_3mc,186,4,ZnO
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.0019489147847535835,0.00584674435426075,8.0,16.0,0.002923372177130375,P4_32_12,96,24,ZnP2
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.008260789955924833,0.0247823698677745,4.0,8.0,0.01239118493388725,Pnma,62,12,ZnPd2
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.02412729228958114,0.04825458457916228,2.0,2.0,0.04825458457916228,P4/mmm,123,4,ZnPd
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.012766045737062399,0.051064182948249597,1.0,3.0,0.0170213943160832,Pm-3m,221,4,ZnPt3
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.009516191405574977,0.019032382811149953,2.0,2.0,0.019032382811149953,P4/mmm,123,4,ZnPt
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.026013947076853623,0.052027894153707246,1.0,1.0,0.052027894153707246,Pm-3m,221,2,ZnRh
Sb,121.76,206.0,2.05,8.64,1.07,43.0,0.004296517416322107,0.008593034832644213,8.0,8.0,0.008593034832644213,Pbca,61,16,ZnSb
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.00318596403333975,0.00955789210001925,4.0,8.0,0.004778946050009625,Pa-3,205,12,ZnSe2
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.002714426736387858,0.005428853472775716,1.0,1.0,0.005428853472775716,F-43m,216,2,ZnSe
S,32.07,180.0,2.58,10.36,2.077,19.4,0.002662137362141089,0.005324274724282178,28.0,28.0,0.005324274724282178,P3m1,156,56,ZnS
Te,127.6,206.0,2.1,9.01,1.971,38.0,0.0027145380066721,0.0054290760133442,3.0,3.0,0.0054290760133442,F-43m,216,6,ZnTe
Zr,91.22,186.0,1.33,6.634,0.426,112.0,0.015521208603535242,0.023281812905302863,4.0,4.0,0.023281812905302863,Fd-3m,227,6,ZrZn2
Zr,91.22,186.0,1.33,6.634,0.426,112.0,0.0178767167006873,0.0357534334013746,1.0,1.0,0.0357534334013746,Pm-3m,221,2,ZrZn
