Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0177914998347332,0.0177914998347332,3.0,1.0,0.0177914998347332
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0168458891152385,0.0168458891152385,5.0,1.0,0.0168458891152385
F,18.99840316,135.0,3.98,17.423,3.339,3.74,0.0071133522031637,0.0071133522031637,2.0,2.0,0.0071133522031637
B,10.81,192.0,2.04,8.298,0.277,20.5,0.005142976946248,0.005142976946248,1.0,11.0,0.005142976946248
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0059373757243875,0.0059373757243875,1.0,3.0,0.0059373757243875
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.0177503316153913,0.0177503316153913,3.0,1.0,0.0177503316153913
B,10.81,192.0,2.04,8.298,0.277,20.5,0.010878998451046,0.010878998451046,4.0,4.0,0.010878998451046
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.0212672575988921,0.0212672575988921,3.0,1.0,0.0212672575988921
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0139615862512706,0.0139615862512706,1.0,1.0,0.0139615862512706
U,238.0289,240.0,1.38,6.194,0.0,180.0,0.0156746946805576,0.0156746946805576,1.0,1.0,0.0156746946805576
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.0117585031018954,0.0117585031018954,1.0,3.0,0.0117585031018954
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0183433991804226,0.0183433991804226,24.0,24.0,0.0183433991804226
Pd,106.42,202.0,2.2,8.337,0.557,26.14,0.012884955544424,0.012884955544424,1.0,1.0,0.012884955544424
Dy,162.5,229.0,1.22,5.939,0.0,163.0,0.021671095832681,0.021671095832681,6.0,2.0,0.021671095832681
C,12.011,170.0,2.55,11.26,1.263,11.3,0.000723768211776,0.000723768211776,7.0,120.0,0.000723768211776
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0035112030794948,0.0035112030794948,2.0,2.0,0.0035112030794948
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0126712056960274,0.0126712056960274,1.0,7.0,0.0126712056960274
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0140771701020245,0.0140771701020245,3.0,1.0,0.0140771701020245
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.014197536644771,0.014197536644771,1.0,3.0,0.014197536644771
Dy,162.5,229.0,1.22,5.939,0.0,163.0,0.0301667326384115,0.0301667326384115,2.0,6.0,0.0301667326384115
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0087022942581308,0.0087022942581308,5.0,4.0,0.0087022942581308
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0125104497980342,0.0125104497980342,2.0,2.0,0.0125104497980342
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0167390537679111,0.0167390537679111,1.0,3.0,0.0167390537679111
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0090789176978929,0.0090789176978929,22.0,11.0,0.0090789176978929
Sm,150.4,229.0,1.17,5.644,0.0,192.0,0.0317650159807446,0.0317650159807446,1.0,3.0,0.0317650159807446
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0166573398491042,0.0166573398491042,3.0,3.0,0.0166573398491042
P,30.973762,180.0,2.19,10.487,0.746,25.0,0.008016642497761,0.008016642497761,8.0,8.0,0.008016642497761
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.0009209305682805,0.0009209305682805,18.0,8.0,0.0009209305682805
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0179656347318663,0.0179656347318663,3.0,3.0,0.0179656347318663
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0162041209782321,0.0162041209782321,4.0,2.0,0.0162041209782321
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,0.0020276477589628,0.0020276477589628,3.0,1.0,0.0020276477589628
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,0.0189063545584529,0.0189063545584529,6.0,2.0,0.0189063545584529
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0163631918710508,0.0163631918710508,3.0,3.0,0.0163631918710508
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0015416515330807,0.0015416515330807,1.0,3.0,0.0015416515330807
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0159202302406424,0.0159202302406424,3.0,3.0,0.0159202302406424
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0143096981479118,0.0143096981479118,1.0,1.0,0.0143096981479118
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0062089742616911,0.0062089742616911,1.0,3.0,0.0062089742616911
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0114928689334803,0.0114928689334803,8.0,4.0,0.0114928689334803
B,10.81,192.0,2.04,8.298,0.277,20.5,0.0052966725704409,0.0052966725704409,1.0,11.0,0.0052966725704409
Be,9.012183,153.0,1.57,9.323,0.0,37.74,0.0106277736245635,0.0106277736245635,2.0,2.0,0.0106277736245635
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0006252917985277,0.0006252917985277,1.0,6.0,0.0006252917985277
