Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0010165615830229,0.00142318621623206,5.0,2.0,0.00355796554058015,5.662377233850437e-05,0.5662377233850437
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.017028471939805646,0.023839860715727905,5.0,2.0,0.05959965178931976,0.0009269567864463354,9.269567864463355
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0027722314225559885,0.005148429784746836,7.0,6.0,0.006006501415537976,4.922756457696319e-06,0.049227564576963194
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0007237682117760588,0.013131223270794209,7.0,120.0,0.0007659880241296622,7.168716011369325e-05,0.7168716011369325
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.012770134151921167,0.01641874390961293,14.0,4.0,0.057465603683645256,0.000865686782431934,8.65686782431934
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.011404693354002833,0.014663177169432214,7.0,2.0,0.05132112009301275,0.0006273354656235593,6.273354656235592
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.01083735978385018,0.013933748293521661,28.0,8.0,0.048768119027325814,0.0007358526136679376,7.358526136679376
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0005925353163902497,0.0008464790234146424,42.0,18.0,0.001975117721300832,4.060477859188621e-05,0.4060477859188621
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.012070798459750473,0.01551959801967918,14.0,4.0,0.054318593068877125,0.0006878653013691768,6.878653013691768
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.010851495031220276,0.015502135758886107,14.0,6.0,0.03617165010406758,0.0006019202666006945,6.019202666006945
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.011817815205904691,0.019203949709595124,16.0,10.0,0.0307263195353522,0.0007229731934856757,7.2297319348567575
Hf,178.49,212.0,1.3,6.825,,103.0,0.0008416552347941367,0.001157275947841938,16.0,6.0,0.0030860691942451676,3.106985355374382e-05,0.3106985355374382
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.012127603527127455,0.01667545484980025,8.0,3.0,0.04446787959946733,0.0006469790066177612,6.469790066177612
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.014354437868742633,0.020734188032628248,18.0,8.0,0.04665192307341356,0.0008287578109069478,8.287578109069477
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.01699765730823504,0.024552171667450613,9.0,4.0,0.05524238625176388,0.0010301357947302679,10.301357947302678
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.000920930568280596,0.001330233043071972,18.0,8.0,0.002993024346911937,5.8458874833805856e-05,0.5845887483380585
Ge,72.63,211.0,2.01,7.9,1.35,40.0,0.011721742583390019,0.016931405953785582,18.0,8.0,0.03809566339601756,0.0007649212395355642,7.649212395355643
Ac,227.02775,260.0,1.1,5.17,,282.0,0.013634764704525487,0.05453905881810195,1.0,3.0,0.01817968627270065,0.0003391809707329945,3.3918097073299447
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.009729184781942912,0.038916739127771646,1.0,3.0,0.012972246375923882,0.0005879491754914832,5.879491754914832
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.009650851655621144,0.03860340662248458,2.0,6.0,0.01286780220749486,0.000580674922591304,5.80674922591304
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.009709873038428237,0.03883949215371295,1.0,3.0,0.012946497384570982,0.0005864063285045476,5.864063285045476
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.011225419546443625,0.02245083909288725,2.0,2.0,0.02245083909288725,0.0006842744124417311,6.842744124417311
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.01154225672963605,0.0230845134592721,1.0,1.0,0.0230845134592721,0.0007580766311038328,7.580766311038328
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.010591060417818585,0.031773181253455754,4.0,8.0,0.015886590626727877,0.0005762537104363331,5.762537104363331
